defect_id,feature_id,feature_name,requirement_ids,acceptance_condition_ids,test_case_ids,test_ids,review_ids,summary,found_date,detection_phase,discovery_method,severity,defect_category,reproduction_steps,expected_result,actual_result,expected_result_review,missed_reason,cause,cause_category,fix_summary,prevention_action,added_or_updated_tests,prevention_targets,regression_verified,ai_involvement,status,traceability_status,reviewer
D-LOGIN-001,F-001,ログイン,F-001,F-001-AC-001;F-001-AC-005;F-001-AC-006,BE-ORA-001,AuthControllerOracleIT.loginSucceedsWithOracleDatabase,LOGIN-ORA-001;LOGIN-REG-001,Oracle実機向けのテーブル定義と接続プロファイルが未整備,2026-06-27,レビュー,DB構成確認,Medium,DB設定,ログイン機能のDB構成を確認したところH2テスト設定のみでOracle ORCL向けDDLと接続プロファイルが不足していた,Oracleテストユーザでログイン機能に必要なusersテーブルを作成しDB接続確認できる,H2 Oracleモードでの自動テストはあるがOracle実機向けDDLと接続設定が不足していた,OK（Oracleケースの期待結果は妥当）,,初期実装時点ではOracle接続先情報が未確定だったためH2代替で実装した,,application-oracle-test.ymlとschema-login.sql/drop-login.sqlおよびOracle接続手順を追加しDataInitializerをtest/oracle-test限定に整理,,AuthControllerOracleITを追加しOracle実機接続とログイン成功を確認,,保留（Oracle資格情報再確認後）,有,対応済み,整理済み,AIレビュー（2026-07-15）
D-LOGIN-002,F-001,ログイン,F-001,F-001-AC-001;F-001-AC-006,BE-AUTH-001;BE-ORA-001,AuthControllerTest.loginSucceedsAndMeReturnsCurrentUser;AuthControllerOracleIT.loginSucceedsWithOracleDatabase,LOGIN-REG-001;LOGIN-ORA-001,初期ユーザーデータの日本語文字列が文字化けしていた,2026-06-27,レビュー,DB投入データ確認,Low,テストデータ,Oracle実機確認後にusersテーブルの初期データとDataInitializerを確認したところユーザー名やグループ名が文字化けしていた,初期ユーザー名とグループ名が日本語として読める状態で登録される,文字化けした文字列がDataInitializerに残っていた,OK（日本語ユーザー名の期待値を明記）,,ソース作成時の文字コード扱いが不適切だった,,DataInitializerの初期データ文字列を修正しOracleテストDBのデータを入れ直す,,AuthControllerOracleITを再実行してOracle実機ログインを確認,,保留（Oracle資格情報再確認後）,有,対応済み,整理済み,AIレビュー（2026-07-15）
D-LOGIN-003,F-001,ログイン,F-001,F-001-AC-005;F-001-AC-006,BE-AUTH-004;BE-AUTH-005;FE-AUTH-006;FE-AUTH-007;FE-AUTH-012,AuthControllerTest.logoutRequiresCsrfToken;AuthControllerTest.logoutWithCsrfInvalidatesSession;authApi.test.ts,LOGIN-SEC-001;LOGIN-REG-001,ログアウトAPIがCSRF保護対象外になっていた,2026-06-27,セキュリティレビュー,コードレビュー,High,CSRF,SecurityConfigで/api/auth/logoutがCSRF除外に含まれていた,状態変更APIはCSRFトークンを要求する,ログアウトがCSRFトークンなしでも実行可能だった,OK（CSRFなし拒否とCSRFあり成功を分離）,,ログイン・ログアウトをまとめてCSRF除外したため,,CSRF除外をログインAPIのみに限定しフロントのログアウトでXSRF-TOKENをX-XSRF-TOKENヘッダーに付与,,CSRFなしログアウト403とCSRFありログアウト204をAuthControllerTestに追加,,確認済み,有,対応済み,整理済み,AIレビュー（2026-07-15）
D-LOGIN-004,F-001,ログイン,F-001,F-001-AC-001;F-001-AC-006,BE-AUTH-008,AuthControllerTest.loginRegeneratesSessionId,LOGIN-SEC-001;LOGIN-REG-001,ログイン成功時にセッションIDを再発行していなかった,2026-06-27,セキュリティレビュー,コードレビュー,High,セッション管理,独自ログイン処理で認証成功後に既存セッションへ認証情報を保存していた,ログイン成功時にセッションIDを更新してセッション固定攻撃を防ぐ,changeSessionIdを呼ばずにSecurityContextをセッションへ保存していた,OK（ログイン前後のセッションID差分を確認）,,Spring Security標準フォームログインを使わず独自ログインを実装したため,,認証成功後にHttpServletRequest.changeSessionIdを呼び出すよう修正,,既存ログイン成功テストで認証後セッション利用を継続確認,,確認済み,有,対応済み,整理済み,AIレビュー（2026-07-15）
D-LOGIN-005,F-001,ログイン,F-001,-,-,設定レビュー,LOGIN-SEC-001,Cookie Secure属性が本番相当設定でfalseになっていた,2026-06-27,セキュリティレビュー,コードレビュー,Medium,Cookie設定,application.ymlとapplication-oracle-test.ymlでserver.servlet.session.cookie.secure=falseだった,NF-AUTH-004に従いCookieにはSecureを設定する,本番相当のデフォルト設定でもSecure=falseだった,対象外（本番相当設定レビュー）,,ローカルHTTPでの動作確認を優先した設定を共通化していた,,本番相当のapplication.ymlはSESSION_COOKIE_SECURE既定trueにしoracle-testはローカル確認用として既定falseを明示,,通常テストとOracle専用テストを再実行,,動作テストではなく設定レビュー対象,有,対応済み,対象外,AIレビュー（2026-07-15）
D-LOGIN-006,F-001,ログイン,F-001,-,-,秘密情報検査;設定レビュー,LOGIN-SEC-001,DBパスワードが設定ファイルと手順書に直書きされていた,2026-06-27,セキュリティレビュー,コードレビュー,Medium,資格情報管理,application-oracle-test.ymlとOracle接続手順にテストDBパスワードが記載されていた,DBパスワードは環境変数など外部設定で渡す,リポジトリ内の設定・手順にパスワード文字列が残っていた,対象外（秘密情報管理レビュー）,,ローカル接続確認の利便性を優先したため,,DBユーザーとパスワードを環境変数必須にし手順書はプレースホルダへ変更,,Oracle専用テストを環境変数指定で再実行,,動作テストではなく設定レビュー対象,有,対応済み,対象外,AIレビュー（2026-07-15）
D-LOGIN-007,F-001,ログイン,F-001,-,-,設定レビュー,LOGIN-SEC-001,本番相当設定でHibernate ddl-auto updateが有効だった,2026-06-27,セキュリティレビュー,コードレビュー,Medium,DB設定,application.ymlでspring.jpa.hibernate.ddl-auto=updateだった,本番相当ではDDLを自動変更せずvalidateまたはマイグレーションで管理する,起動時に意図せずスキーマが変更される可能性があった,対象外（DDL設定レビュー）,,初期実装の利便性として自動更新を残していた,,application.ymlのddl-autoをvalidateへ変更,,通常テストとOracle専用テストを再実行,,動作テストではなく設定レビュー対象,有,対応済み,対象外,AIレビュー（2026-07-15）
D-LOGIN-008,F-001,ログイン,F-001,F-001-AC-003;F-001-AC-006,BE-AUTH-006;BE-AUTH-010;BE-AUTH-011;BE-AUTH-012;FE-AUTH-009,AuthControllerTest.loginValidationRejectsTooLongLoginId;AuthControllerTest.loginValidationAcceptsMaxLengthLoginId;AuthControllerTest.loginValidationRejectsTooLongPassword;AuthControllerTest.loginValidationAcceptsMaxLengthPassword;LoginForm.test.tsx,LOGIN-BND-001;LOGIN-EXP-001;LOGIN-REG-001,ログイン入力値の長さ制限が不足していた,2026-06-27,セキュリティレビュー,コードレビュー,Medium,入力チェック,LoginRequestが@NotBlankのみで長大なログインIDやパスワードを受け付けていた,DB定義や認証処理の想定範囲に合わせて入力長を制限する,極端に長い入力で不要なDB照会やBCrypt処理負荷が発生し得た,要補足（最大長ケースは形式通過の根拠を明記）,,必須チェックのみ先行実装したため,,@SizeでloginId最大80文字・password最大100文字を追加,,長すぎるログインIDが400になるテストを追加,,確認済み,有,対応済み,整理済み,AIレビュー（2026-07-15）
D-LOGIN-009,F-001,ログイン,F-001,-,-,App.tsxコードレビュー,LOGIN-CODE-001,Appコンポーネントに複数責務が集まっていた,2026-06-27,可読性レビュー,リーダブルコード観点レビュー,Medium,可読性,App.tsxを確認したところログイン画面とログイン後画面と認証状態管理が1コンポーネントに集約されていた,画面表示部品と状態管理の責務が読み分けやすい,1コンポーネント内で複数の責務を追う必要があった,対象外（コードレビュー）,,初期実装で画面規模が小さかったため分割を後回しにした,,LoginFormとAuthenticatedHomeに分割しロール別タイトルを対応表へ整理,,npm run typecheckとnpm run buildで確認,,動作テストではなくコードレビュー対象,有,対応済み,対象外,AIレビュー（2026-07-15）
D-LOGIN-010,F-001,ログイン,F-001,-,-,AuthController.javaコードレビュー,LOGIN-CODE-001,AuthController.loginの責務が多かった,2026-06-27,可読性レビュー,リーダブルコード観点レビュー,Medium,可読性,loginメソッドに認証・SecurityContext生成・セッションID再発行・セッション保存・レスポンス変換が並んでいた,ログイン処理の主要な流れとセッション確立の詳細が分離されている,1メソッド内で複数の抽象度が混在していた,対象外（コードレビュー）,,独自ログイン処理の実装を優先したため,,establishAuthenticatedSessionへセッション確立処理を切り出し,,通常mvn testで確認,,動作テストではなくコードレビュー対象,有,対応済み,対象外,AIレビュー（2026-07-15）
